category,subcategory,component,method,cost,cost_units,quantity,quantity_units,useful_life,remaining_useful_life,notes,B6_category
Exterior Surfaces,Pool,Pool Coping,Repeating,35.0,$/LF,120,LF,20,10:06,Source page: 135,Pool
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,5:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,6:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,7:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,8:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,9:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,10:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,11:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,12:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,13:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,14:06,Source page: 157,Siding
